branch_Y3	site_Y3
471292.0162722355	3.89964e-05
205003.94581738123	1.6992e-05
631738.3412420207	5.16092e-05
266719.65533503226	2.6878e-05
227146.62537103434	1.85084e-05
249048.68137522636	2.37012e-05
317884.011567119	2.87212e-05
332881.55931393587	2.89876e-05
385731.82450211584	3.5738399999999997e-05
755598.8859308956	6.87804e-05
524030.8293585553	4.63896e-05
390570.3959334534	3.5799599999999995e-05
502179.573157477	4.3844e-05
316570.29155657545	3.26868e-05
441012.5935279023	3.9674799999999995e-05
571518.2241145523	5.1013199999999995e-05
690375.9362759395	5.9044e-05
440788.0030381275	3.9947600000000004e-05
277674.4462471686	2.70424e-05
346166.5689589858	3.0142800000000002e-05
201744.6996764424	1.79288e-05
545055.1267056084	4.3384000000000003e-05
250124.5976586124	2.2537199999999998e-05
562684.9652526118	5.4418799999999995e-05
227583.12871409106	2.14008e-05
255733.12860574885	2.30616e-05
697522.9472494015	7.45052e-05
560925.7737526898	5.4329999999999997e-05
450407.057811385	4.13664e-05
431408.2490744489	3.84556e-05
242711.65736231973	2.23048e-05
460084.65686895547	4.4380000000000005e-05
387442.5272276255	3.7645600000000004e-05
354867.7342913615	3.39872e-05
279275.98290588707	2.63512e-05
351821.29664516984	3.29308e-05
355730.6187272218	3.3428e-05
383160.8579652169	3.67704e-05
314177.3261430614	3.12284e-05
451739.0982162417	4.07652e-05
373946.92219738127	3.7610799999999996e-05
680801.7140366846	6.694880000000001e-05
264835.98888120294	2.4581600000000002e-05
271696.5102802583	2.60644e-05
749186.7762926097	6.6092e-05
757748.1122232309	6.8132e-05
458272.21800962853	4.47276e-05
269538.7770472288	2.53504e-05
642988.1303398263	6.4248e-05
385531.3865694452	3.7328000000000006e-05
758659.6193516759	6.77056e-05
324383.1610629471	3.4293999999999994e-05
263663.1397221293	2.4031600000000002e-05
226170.97280600894	2.75672e-05
256974.16791298523	2.5650800000000002e-05
365530.8998980271	3.80152e-05
465540.8827688625	4.5138399999999995e-05
202790.69480867716	1.9504e-05
795869.7531046121	7.68004e-05
637408.2261799559	5.52048e-05
192854.93350992483	1.77392e-05
189581.52507980593	1.8086e-05
349684.50873005186	3.12964e-05
209084.46025980896	2.05692e-05
454973.85113751347	4.4848e-05
456206.9374740207	4.37476e-05
352667.3305704018	3.51524e-05
397463.209086984	4.2435600000000004e-05
258889.44825129796	2.33536e-05
400321.25038486934	4.20312e-05
388605.4900455683	3.8207599999999997e-05
201314.61771963723	1.82668e-05
570335.5016703999	6.0497999999999996e-05
479214.3504971795	4.7457200000000004e-05
393431.0021242622	4.17816e-05
247328.30868281823	2.28664e-05
220083.1281369395	1.93732e-05
200671.50326323035	1.81308e-05
223177.75423052112	2.03388e-05
473796.4204533135	4.70196e-05
184132.53708500994	2.01124e-05
230137.93014454542	2.3872800000000003e-05
251512.4993910293	2.28336e-05
596388.2264315687	6.26984e-05
186423.75949054284	1.6168e-05
240738.25301360697	2.3006799999999998e-05
265779.6965119025	2.36032e-05
389909.9072849214	3.87752e-05
198462.69652478505	1.86228e-05
618075.5623504237	5.6204e-05
267074.4497799866	2.42884e-05
238136.63269895082	2.2557600000000002e-05
401472.4971289369	3.7145200000000005e-05
372102.7594243086	3.3518e-05
424553.46050601307	3.68332e-05
203941.45806561242	1.94224e-05
256316.733482859	2.3671199999999998e-05
229091.36126544574	2.0514800000000002e-05
365009.34132329293	3.29576e-05
233193.57700960807	2.1635200000000003e-05
245338.1577526302	2.58508e-05
575615.4796798098	5.0264000000000005e-05
268174.95678005717	2.27376e-05
198825.689933472	2.14104e-05
262621.79077409016	2.35484e-05
317481.0583219438	3.3046399999999996e-05
444282.8910452538	4.02536e-05
231911.68132846028	2.1890799999999997e-05
295338.98532730836	2.49148e-05
607583.9486427767	5.8946e-05
