branch_f4	site_f4
248359.88504994195	1.9167200000000002e-05
1639.158509752699	8.408e-07
104659.81882416978	5.1116e-06
460482.4292643597	3.9898e-05
-7089.067516271683	-7.028e-07
-12210.732512418379	-1.8352e-06
68895.23295588519	2.6924000000000003e-06
138996.71932676501	9.662400000000001e-06
184080.66181635848	1.77672e-05
1510.4288682704268	5.88e-08
87543.00389405666	1.0152e-05
-12754.131172044055	-2.5331999999999997e-06
553854.1862544625	5.08516e-05
471232.71976063814	4.2842799999999996e-05
-1253.0891327082788	2.412e-07
284071.0758417614	2.3054e-05
-11885.879943845073	4.8e-08
102428.77024107218	9.6644e-06
264263.5533371299	2.0596e-05
-6304.993775615644	-4.5399999999999996e-07
288197.6419911618	2.6316e-05
-9272.51391826123	-9.58e-07
-11297.539056954194	-1.3216e-06
63409.88151149265	6.361599999999999e-06
-1639.8381401770828	3.068e-07
-2165.4502630823326	-4.636e-07
104282.41240068665	1.3446800000000001e-05
277192.008040108	2.58928e-05
197529.61958279382	1.95632e-05
94566.13462801302	1.01428e-05
193993.6570297797	2.1606799999999998e-05
312919.42642805324	3.555e-05
352676.46789261565	3.32156e-05
-8747.561653549918	-1.5091999999999999e-06
411249.49925651686	4.57988e-05
188654.1121104954	1.7631600000000002e-05
-3056.8955557648187	-4.088e-07
397099.4831870737	4.39108e-05
85819.89489920755	8.054e-06
445714.21911353234	4.3108e-05
82075.3699367153	6.7196e-06
292817.07078639884	3.0464000000000002e-05
262615.3784468384	2.44328e-05
-4281.669262419053	-8.752e-07
182689.85662873718	1.59276e-05
2037.8881095037295	6.388e-07
-2675.8521010906024	-1.2292e-06
-5735.92018688584	-4.396e-07
109114.39407982168	9.4972e-06
85418.92936678656	7.1348e-06
203420.317428498	1.99048e-05
103344.21654029547	7.9572e-06
75515.60942440627	4.1336000000000005e-06
-24527.725004702184	-4.4916e-06
67669.43587143997	4.912e-06
481284.3194809697	4.11536e-05
286980.0986444986	2.558e-05
92219.66238599842	7.7144e-06
93958.041021236	8.826399999999999e-06
213817.47945074394	1.61296e-05
-780.8257825951039	-1.0576e-06
-2780.0525627535962	-9.440000000000001e-07
65067.87367492523	2.9688e-06
118912.32875950301	1.25924e-05
123630.57918375792	1.3641199999999999e-05
161180.72814859165	1.4193599999999999e-05
29207.36863359243	3.846e-06
106377.54262794348	1.1726e-05
109237.31053371803	1.4467200000000001e-05
198415.04648352595	2.28488e-05
79944.57065922802	8.977200000000001e-06
126143.06902696592	1.4438399999999999e-05
-24405.88849336499	-1.8032e-06
-12842.617169168108	-8.196e-07
-11561.139568476157	-4.872e-07
199326.49940248934	2.2747199999999998e-05
-3587.786973699587	8.140000000000001e-07
101557.28095991384	1.36744e-05
8569.792995396121	-2.2760000000000003e-07
93691.14396275564	1.027e-05
363638.7279304466	3.91676e-05
-7014.029692663381	1.152e-06
-817.0727694623705	3.128e-07
358759.5729895687	3.80448e-05
194418.23422738738	2.13756e-05
-7377.930451635254	-4.964e-07
201763.39002209812	2.2000799999999998e-05
-1202.0852175604123	1.0148e-06
-1291.3583832961567	-4.004e-07
163469.8615245415	1.17916e-05
360217.22440467385	3.0786e-05
-7926.965761315531	-8.312000000000001e-07
71909.20144593432	6.7944000000000005e-06
91855.35653560833	8.8188e-06
-8224.101368067571	-1.616e-07
111516.9395627595	8.8224e-06
84698.83070035555	8.392e-06
-8988.141723638972	-1.5191999999999998e-06
-10857.241200564482	-1.5296000000000001e-06
497716.16614021047	4.3616800000000006e-05
-8278.22670842501	-3.5792e-06
499203.34365745046	4.5833999999999995e-05
164834.09210029038	1.40048e-05
89251.12291217482	6.5348000000000005e-06
433089.4068319129	4.13288e-05
225416.44136710628	2.13004e-05
74041.34952426258	4.6592e-06
1339.3155335447796	-1.7600000000000001e-07
83701.70998557472	9.695599999999999e-06
-6040.777818448431	-4.632e-07
